frame.time_relative,ip.src,ip.dst,_ws.col.protocol,frame.len,tcp.flags,label
"0.000000000",,,"ARP","42",,normal,normal
"0.999892000",,,"ARP","42",,normal,normal
"1.999858000",,,"ARP","42",,normal,normal
"3.671651000",,,"ARP","42",,normal,normal
"4.499724000",,,"ARP","42",,normal,normal
"5.499745000",,,"ARP","42",,normal,normal
"5.656366000","192.168.1.10","192.168.1.20","iSCSI","102","0x0018",normal,normal
"5.657739000","192.168.1.20","192.168.1.10","iSCSI","102","0x0018",normal,normal
"5.672046000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"10.416609000",,,"ARP","60",,normal,normal
"10.416654000",,,"ARP","42",,normal,normal
"10.564616000",,,"ARP","42",,normal,normal
"11.500423000",,,"ARP","42",,normal,normal
"12.499701000",,,"ARP","42",,normal,normal
"13.320285000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"13.320568000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"13.321292000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"13.325668000","192.168.1.20","192.168.1.10","SMB","127","0x0018",normal,normal
"13.327211000","192.168.1.10","192.168.1.20","SMB2","306","0x0018",normal,normal
"13.328374000","192.168.1.20","192.168.1.10","SMB2","288","0x0018",normal,normal
"13.329609000","192.168.1.10","192.168.1.20","SMB2","390","0x0018",normal,normal
"13.336980000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"13.337103000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"13.337516000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"13.339719000","192.168.1.20","192.168.1.10","KRB5","1514","0x0010",normal,normal
"13.339719000","192.168.1.20","192.168.1.10","KRB5","272","0x0018",normal,normal
"13.341384000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"13.348737000","192.168.1.10","192.168.1.20","KRB5","1662","0x0018",normal,normal
"13.349990000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"13.350084000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"13.350161000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"13.350207000","192.168.1.10","192.168.1.20","TCP","54","0x0014",normal,normal
"13.350615000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"13.350700000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"13.351469000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"13.351696000","192.168.1.20","192.168.1.10","KRB5","1514","0x0010",normal,normal
"13.351696000","192.168.1.20","192.168.1.10","KRB5","79","0x0018",normal,normal
"13.351757000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"13.352465000","192.168.1.10","192.168.1.20","KRB5","1568","0x0018",normal,normal
"13.352844000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"13.353143000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"13.353171000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"13.353324000","192.168.1.10","192.168.1.20","TCP","54","0x0014",normal,normal
"13.353848000","192.168.1.20","192.168.1.10","NBSS","1514","0x0010",normal,normal
"13.353848000","192.168.1.20","192.168.1.10","TCP","1514","0x0010",normal,normal
"13.353848000","192.168.1.20","192.168.1.10","SMB2","448","0x0018",normal,normal
"13.353912000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"13.354834000","192.168.1.10","192.168.1.20","SMB2","314","0x0018",normal,normal
"13.356039000","192.168.1.20","192.168.1.10","SMB2","166","0x0018",normal,normal
"13.356250000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.356846000","192.168.1.20","192.168.1.10","SMB2","178","0x0018",normal,normal
"13.357012000","192.168.1.10","192.168.1.20","SMB2","474","0x0018",normal,normal
"13.363859000","192.168.1.20","192.168.1.10","SMB2","186","0x0018",normal,normal
"13.365128000","192.168.1.10","192.168.1.20","SMB2","210","0x0018",normal,normal
"13.392175000","192.168.1.20","192.168.1.10","SMB2","162","0x0018",normal,normal
"13.392302000","192.168.1.10","192.168.1.20","SMB2","154","0x0018",normal,normal
"13.414315000","192.168.1.20","192.168.1.10","DCERPC","330","0x0018",normal,normal
"13.414491000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.417175000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.418851000","192.168.1.10","192.168.1.20","DCERPC","254","0x0018",normal,normal
"13.419901000","192.168.1.20","192.168.1.10","SAMR","274","0x0018",normal,normal
"13.422519000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.423606000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.426080000","192.168.1.10","192.168.1.20","SAMR","202","0x0018",normal,normal
"13.426728000","192.168.1.20","192.168.1.10","SAMR","222","0x0018",normal,normal
"13.426891000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.427846000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.428069000","192.168.1.10","192.168.1.20","SAMR","330","0x0018",normal,normal
"13.429126000","192.168.1.20","192.168.1.10","SAMR","264","0x0018",normal,normal
"13.429343000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.430190000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.430331000","192.168.1.10","192.168.1.20","SAMR","206","0x0018",normal,normal
"13.431165000","192.168.1.20","192.168.1.10","SAMR","250","0x0018",normal,normal
"13.431401000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.433750000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.436989000","192.168.1.10","192.168.1.20","SAMR","186","0x0018",normal,normal
"13.437641000","192.168.1.20","192.168.1.10","SAMR","238","0x0018",normal,normal
"13.438125000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.440497000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.440642000","192.168.1.10","192.168.1.20","SAMR","186","0x0018",normal,normal
"13.441227000","192.168.1.20","192.168.1.10","SAMR","304","0x0018",normal,normal
"13.441711000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.442774000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.442942000","192.168.1.10","192.168.1.20","SAMR","226","0x0018",normal,normal
